Review_Date,Hotel_Name,Positive_Review,Negative_Review,Reviewer_Nationality,Reviewer_Score,Total_Reviews_By_Reviewer,Tags,days_since_review
08/03/2017,Hotel Arena,Only the park outside of the hotel was beautiful,I am so angry that i made this post available via all possible sites i use when planing my trips so no one will make the mistake of booking this place I made my booking via booking com We stayed for 6 nights in this hotel from 11 to 17 July Upon arrival we were placed in a small room on the 2nd floor of the hotel It turned out that this was not the room we booked I had specially reserved the 2 level duplex room so that we would have a big windows and high ceilings The room itself was ok if you don t mind the broken window that can not be closed hello rain and a mini fridge that contained some sort of a bio weapon at least i guessed so by the smell of it I intimately asked to change the room and after explaining 2 times that i booked a duplex btw it costs the same as a simple double but got way more volume due to the high ceiling was offered a room but only the next day SO i had to check out the next day before 11 o clock in order to get the room i waned to Not the best way to begin your holiday So we had to wait till 13 00 in order to check in my new room what a wonderful waist of my time The room 023 i got was just as i wanted to peaceful internal garden view big window We were tired from waiting the room so we placed our belongings and rushed to the city In the evening it turned out that there was a constant noise in the room i guess it was made by vibrating vent tubes or something it was constant and annoying as hell AND it did not stop even at 2 am making it hard to fall asleep for me and my wife I have an audio recording that i can not attach here but if you want i can send it via e mail The next day the technician came but was not able to determine the cause of the disturbing sound so i was offered to change the room once again the hotel was fully booked and they had only 1 room left the one that was smaller but seems newer,Russia,2.9,7,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 6 nights ']",0 days
10/08/2016,K K Hotel George,Staff were very helpful,The bed mattress was too hard without the mattress topper on which we removed because it made us hot The mattress was orthopaedic firm,United Kingdom,7.9,1,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",299 day
04/05/2017,Apex Temple Court Hotel,The bathroom was light pleasant and very clean The wardrobe space was good and there were tea making facilities The bed was comfortable,A few more little milks maybe as I drink a lot of tea but I was given a little jug of milk when I asked,United Kingdom,10,2,"[' Leisure trip ', ' Couple ', ' City King Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",120 day
01/04/2017,Apex Temple Court Hotel,Large bathroom with great elemis toiletries comfortable and king size bed,No Negative,United Kingdom,9.2,4,"[' Leisure trip ', ' Solo traveler ', ' Superior King Room with Balcony ', ' Stayed 1 night ']",211 day
08/11/2015,Apex Temple Court Hotel,Excellent location for west end shows,No Negative,United Kingdom,7.9,6,"[' Leisure trip ', ' Couple ', ' City King Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",723 day
05/19/2016,The Park Grand London Paddington,Staff was very friendly and helpful From answering question how to get to from as finding answers to specific shopping questions Nice neighborhood quiet for a big city rooms with windows and daylight great shower comfortable sturdy beds not too soft separate closet and entree,a socket for plugging your phone next to the bed,Netherlands,8.3,2,"[' Leisure trip ', ' Group ', ' Deluxe Double Room ', ' Stayed 2 nights ']",441 day
01/18/2017,The Park Grand London Paddington,Comfort of the beds high ceilings and black out curtains travel phone and interior,Bathroom a little small,United Kingdom,9.6,2,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",197 day
03/10/2016,The Park Grand London Paddington,Bed was really comfortable,Walk to the room,United Kingdom,8.8,1,"[' Business trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 1 night ']",511 day
03/10/2016,The Principal London,Lovely looking old building nice entrance area friendly staff good breakfast 7th floor bedroom with fabulous view Close to the tube station,Despite being on the 7th floor we couldn t believe how noisy our room was from the traffic in the street below Single glazed very old windows that really need replaced though a good wash would be a start Bed was NOT comfy The room was small but clean I think these rooms are for booking com customers you get what you pay for i guess,United Kingdom,6.7,9,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ']",511 day
08/04/2015,The Principal London,Very friendly staff Ideal Location in a reasonable walking distance from main touristic sites We enjoyed Free wi fi during our stay,Quite disgusted to find the Bathroom full of mold in a hotel ranked as a 4 stars hotel,Zimbabwe,4.6,2,"[' Leisure trip ', ' Family with older children ', ' Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",730 day
10/29/2015,The Principal London,Thoughtfulness of staff fabulous room and amazing cocktails in the Tempus Bar,No Negative,United Kingdom,9.6,1,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",644 day
03/17/2017,Park Plaza County Hall London,The bed was comfy and facilities good,When I booked I requested a room on a high floor with good view We got a room overlooking a building site The hotel said you had not forwarded this request I was very disappointed as I had booked last year Felt let down,United Kingdom,7.9,5,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",139 day
05/10/2016,Park Plaza County Hall London,No Positive,The aircon wasn t working in our room on the hottest day of the year We called twice for it to be sorted and no one came or bothered to call I complained at check out and the staff didn t seem bothered Not impressed at all,United Kingdom,7.1,1,"[' Leisure trip ', ' Family with older children ', ' Executive Studio City View ', ' Stayed 1 night ', ' Submitted from a mobile device ']",450 day
03/15/2017,Park Plaza County Hall London,Friendly staff Excellent room service food,No access to fresh or window in the room,United Kingdom,10,1,"[' Business trip ', ' Group ', ' Studio Double Family ', ' Stayed 1 night ', ' Submitted from a mobile device ']",141 day
07/30/2016,Park Plaza County Hall London,Location good for kids Plenty restaurants nearby,Breakfast too expensive not great quality hot food,Ireland,7.5,2,"[' Leisure trip ', ' Family with young children ', ' Studio Double Family ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",369 day
01/02/2017,One Aldwych,No Positive,For what iv paid 575 for 1 night didnt even gt a breakfast we could av been told that thers a safe in room the chair in 403 was disgustig filthy wasnt very impressed with the service,United Kingdom,5,1,"[' Leisure trip ', ' Couple ', ' Aldwych Double Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",213 day
05/03/2016,InterContinental London Park Lane,Big pillows and breakfast,Room was too hot both windows open heating low as we could get it so hot my partners asthma was set off and he was up all night as he couldn t lie down had to have water from minibar to cool himself The receptionist let us have the water and advised us that next time to call reception to help,United Kingdom,7.9,1,"[' Leisure trip ', ' Couple ', ' Classic Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",457 day
04/11/2017,Grand Royale London Hyde Park,Lobby and aesthetic appearance down stairs is great,Rooms can do with some TLC and are much smaller than anticipated Room 517 was quite warm and the split system would blow warm when placed on cool and cool when placed on warm Bathroom ventilation is poor also Cleaning staff half heartedly serviced our room on two occasions If you need a Taxi do not use the hotels affiliate service They will rip off any unnasuming tourist 20 for a four minute car journey I don t think so,Australia,4.6,5,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",114 day
07/26/2016,Grand Royale London Hyde Park,The location next to underground and Hyde Park was ideal for us The staff were very helpful and polite We had just got engaged and so they kindly had a card fruit wine and chocolates in our bedroom as a gift Been many places and could not fault it Wonderful air conditioning in room Beautiful historical hotel,Slightly small bedroom but I guess that is London,United Kingdom,9.6,1,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ']",373 day
11/22/2015,Grand Royale London Hyde Park,for our purpose the location was perfect everything was fine as usual for London the rooms are small This is as a rule compensated by generous lobbies and lounges which really makes sense as you only sleep in your room The bathroom was modern good design and clean,Windows couls not be opened the double bed a bit on the small side,Switzerland,7.9,3,"[' Leisure trip ', ' Group ', ' Superior Double Room ', ' Stayed 1 night ']",620 day
02/12/2017,Grand Royale London Hyde Park,Breakfast was great,Terrible room size and corridor No gym Room had a bath That was good Do not come hereunless you are five six,Saudi Arabia,6.3,8,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",172 day
06/27/2016,Grand Royale London Hyde Park,The Beds were very comfortable,The pillows,United Kingdom,8.3,2,"[' Leisure trip ', ' Couple ', ' Deluxe Twin Room ', ' Stayed 1 night ']",402 day
12/21/2015,Grand Royale London Hyde Park,The hotel was in a very good location the room was very comfortable and the staff was excellent,No Negative,United Kingdom,10,13,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",591 day
02/01/2017,Crowne Plaza London Kings Cross,The newly refurbished rooms are extremely comfortable well designed and the bathrooms are excellent Really impressed at the value for money,There were a small set of stairs between the lifts and the room may sound picky but with a big heavy case it was a real pain,United Kingdom,10,5,"[' Business trip ', ' Solo traveler ', ' Double Room with Two Double Beds ', ' Stayed 1 night ', ' Submitted from a mobile device ']",183 day
01/15/2017,Crowne Plaza London Kings Cross,Really enjoyed using the pool jacuzzi and steam room Room was well equipped,No issues at all,United Kingdom,9.6,3,"[' Leisure trip ', ' Couple ', ' Double Room with Sofa Bed Non Smoking ', ' Stayed 1 night ', ' Submitted from a mobile device ']",200 day
03/13/2017,Select Hotel,Super clean,Wifi not consistent in room,United Kingdom,9.6,1,"[' Leisure trip ', ' Family with young children ', ' Triple Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",143 day
09/20/2015,Gardette Park Hotel,Nice room with good facilities very clean and confortable very quite environment with a view on a public garden,Breakfast could be improved easily as it is very very basic,France,7.5,84,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 2 nights ']",683 day
04/15/2017,Novotel London West,Location bed,Staff doesn t respond quickly The room lacked cleanliness Water system not working properly Tap water smelled like sewage We requested changing the room but no response The shower was bad also Too expensive for what they offer,Jordan,4.6,13,"[' Leisure trip ', ' Family with young children ', ' Superior Room ', ' Stayed 9 nights ', ' Submitted from a mobile device ']",110 day
06/24/2017,Novotel London West,Very convenient link to conference centre staff are magnificent,No Negative,France,9.2,3,"[' Business trip ', ' Group ', ' Superior Room ', ' Stayed 1 night ']",40 days
02/09/2016,Novotel London West,No Positive,Breakfast never came to room as booked resulting in late check out,United Kingdom,7.5,1,"[' Leisure trip ', ' Couple ', ' Executive Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",541 day
04/25/2017,Intercontinental London The O2,The staff were amazing and the room facilities and bathroom were really nice,I thought 25pp for breakfast was much to expensive and so not value for money Also no english breakfast tea in the room and when it was delivered it was not that nice,United Kingdom,9.6,8,"[' Leisure trip ', ' Couple ', ' Superior Twin Room ', ' Stayed 1 night ']",100 day
07/07/2016,Intercontinental London The O2,Location was the best thing,Much too expensive parking was 24 00 overnight After spending that much money on a room parking was just too expensive plus the cost of the minibar where a kit Kat was 3 50 Also leaving 100 00 deposit made it very very expensive cos you don t get the money back for 4 5 days,United Kingdom,5.8,1,"[' Leisure trip ', ' Couple ', ' Superior Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",392 day
06/23/2017,Intercontinental London The O2,Beautiful lovely views,No Negative,United Kingdom,9.6,1,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",41 days
01/02/2017,Intercontinental London The O2,Oscar from Reception was very helpful and friendly Thank you Oscar Regards Ahmed Kasem,No Negative,United Kingdom,10,4,"[' Leisure trip ', ' Couple ', ' Superior King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",213 day
06/16/2016,Intercontinental London The O2,Everyone made me feel special,Pillows really to soft,United Kingdom,9.2,4,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",413 day
07/14/2016,H tel Juliana Paris,Location Cheerful staff Facilities and services provided by the hotel,No Negative,United Arab Emirates,9.2,9,"[' Leisure trip ', ' Solo traveler ', ' Club Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",385 day
11/18/2015,Knightsbridge Hotel,The staff were very welcoming the street was quiet everything about the hotel was lovely We were upgraded to a presidential suite which was amazing and had the most wonderful time,No Negative,United Kingdom,10,4,"[' Leisure trip ', ' Couple ', ' Deluxe Room ', ' Stayed 1 night ']",624 day
01/21/2017,The Nadler Soho,Comfy bed and facilities within the room,Room too small no room for cases Breakfast should be included for price of room More ambient space in lobby,United Kingdom,9.2,1,"[' Leisure trip ', ' Couple ', ' Small Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",194 day
